Kota/Kabupaten,Kecamatan,Nama Sekolah,NPSN,BP,Status,Tahun Akreditasi,Nilai Akreditasi,Peringkat Akreditasi,Last Sync,Jml Sync,PD,Rombel,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus
Jakarta Barat,Cengkareng,TK Negeri Cengkareng 01,69988293,TK,Negeri,0,0,,2023-03-01 10:14:21,6,60,3,3,3,3,0,0
Jakarta Barat,Cengkareng,TK Adinda,69856712,TK,Swasta,0,0,,2023-01-26 21:06:16,2,45,2,2,3,2,0,0
Jakarta Barat,Cengkareng,TK AISYIYAH 45,20110832,TK,Swasta,0,0,,2023-02-20 14:16:51,3,36,3,3,3,3,0,0
Jakarta Barat,Cengkareng,TK AISYIYAH 84,20110836,TK,Swasta,0,0,,2023-03-04 16:30:58,5,35,2,2,2,4,0,0
Jakarta Barat,Cengkareng,TK AL BAIDILLAH,20110841,TK,Swasta,0,0,,2023-03-07 07:27:24,8,30,1,1,1,2,0,0
Jakarta Barat,Cengkareng,TK AL HUSNA,20110847,TK,Swasta,0,0,,2023-01-18 08:17:52,4,73,4,4,3,4,0,0
Jakarta Barat,Cengkareng,TK AL KHOIRIYAH,20110853,TK,Swasta,0,0,,2023-02-22 12:16:33,8,25,3,4,2,3,0,0
Jakarta Barat,Cengkareng,TK AL MUKHLISIN,20110855,TK,Swasta,0,0,,2023-02-14 23:03:53,3,39,3,4,3,4,0,1
Jakarta Barat,Cengkareng,TK AL MUTTAQIEN,20110859,TK,Swasta,0,0,,2023-01-26 19:20:54,3,36,3,5,4,6,0,0
Jakarta Barat,Cengkareng,TK AL USMANIYAH,20110862,TK,Swasta,0,0,,2023-01-24 15:30:24,2,22,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK AL-MUHAJIRIN,20177830,TK,Swasta,0,0,,2023-03-04 12:31:24,4,10,2,1,1,2,0,0
Jakarta Barat,Cengkareng,TK AMANAH,20110869,TK,Swasta,0,0,,2023-01-30 03:46:25,5,50,4,8,2,7,0,1
Jakarta Barat,Cengkareng,TK AN-NAHL,69861838,TK,Swasta,0,0,,2023-02-25 13:01:20,4,21,2,3,1,2,0,0
Jakarta Barat,Cengkareng,TK ANUGERAH CAHAYA,69952072,TK,Swasta,0,0,,2023-02-17 19:22:34,6,40,4,5,2,2,0,0
Jakarta Barat,Cengkareng,TK Anugrah,69856829,TK,Swasta,0,0,,2023-01-30 08:50:11,2,28,2,2,1,3,0,0
Jakarta Barat,Cengkareng,TK AR RAHMAT,20110884,TK,Swasta,0,0,,2023-02-17 22:13:41,3,25,2,3,2,3,0,0
Jakarta Barat,Cengkareng,TK ARRIDHO,20110885,TK,Swasta,0,0,,2023-01-26 08:42:58,2,74,4,4,1,5,0,0
Jakarta Barat,Cengkareng,TK BAITUL UYUN,20177847,TK,Swasta,0,0,,2023-01-29 14:22:37,6,96,8,8,2,8,0,0
Jakarta Barat,Cengkareng,TK BAPTIS,20110904,TK,Swasta,0,0,,2023-02-23 13:41:18,7,31,2,3,2,3,0,1
Jakarta Barat,Cengkareng,TK BINTANG KEJORA,20110918,TK,Swasta,0,0,,2023-03-03 09:36:47,4,50,3,3,3,3,0,0
Jakarta Barat,Cengkareng,TK BLOSSOM SCHOOL,70026326,TK,Swasta,0,0,,2023-03-03 11:16:18,13,35,3,7,2,3,0,0
Jakarta Barat,Cengkareng,TK CARINA SAYANG,20110933,TK,Swasta,0,0,,2023-01-27 16:08:59,2,22,2,3,2,3,0,1
Jakarta Barat,Cengkareng,TK CINTA KASIH TZU CHI,69891885,TK,Swasta,0,0,,2023-01-25 12:37:05,1,177,8,14,4,7,0,1
Jakarta Barat,Cengkareng,TK DAARUL FATHIN,20112523,TK,Swasta,0,0,,2022-08-31 17:12:13,0,0,0,1,1,0,0,0
Jakarta Barat,Cengkareng,TK DARUL ILMI,20112524,TK,Swasta,0,0,,2023-02-21 21:32:54,8,28,3,5,2,4,0,0
Jakarta Barat,Cengkareng,TK DARUT TAQWA,20110941,TK,Swasta,0,0,,2023-01-30 00:29:27,2,31,2,6,2,8,0,0
Jakarta Barat,Cengkareng,TK FAJAR PERTIWI,20110956,TK,Swasta,0,0,,2023-01-27 10:24:11,2,65,4,5,2,6,0,0
Jakarta Barat,Cengkareng,TK FLAMBOYAN INDAH,20110960,TK,Swasta,0,0,,2023-01-27 14:02:05,2,13,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK GROW N GLOW GENERATION,69965595,TK,Swasta,0,0,,2023-03-08 13:22:56,11,18,2,3,1,2,0,0
Jakarta Barat,Cengkareng,TK GUIDANCE FOR KIDS,69926298,TK,Swasta,0,0,,2023-03-01 13:00:26,6,46,4,11,3,5,0,1
Jakarta Barat,Cengkareng,TK HALLELUYAH,69956971,TK,Swasta,0,0,,2023-02-20 21:01:34,7,40,2,4,2,2,0,0
Jakarta Barat,Cengkareng,TK HAPPY HOLY KIDS,69915559,TK,Swasta,0,0,,2023-02-13 08:15:09,3,49,4,5,1,4,0,1
Jakarta Barat,Cengkareng,TK HARAPAN JAYA,20110971,TK,Swasta,0,0,,2023-01-27 22:48:04,7,35,2,2,1,1,0,0
Jakarta Barat,Cengkareng,TK HARAPAN LESTARI,69872214,TK,Swasta,0,0,,2023-01-19 08:57:39,1,29,2,0,2,2,0,0
Jakarta Barat,Cengkareng,TK I RAUDATU AL-JANNAH,20111305,TK,Swasta,0,0,,2023-01-18 01:15:21,5,63,3,3,2,3,0,0
Jakarta Barat,Cengkareng,TK Impian Bunda,69856707,TK,Swasta,0,0,,2023-02-28 09:11:25,3,38,3,3,2,3,0,0
Jakarta Barat,Cengkareng,TK ISLAM AL-JAIRY,69909376,TK,Swasta,0,0,,2023-01-27 14:32:20,2,21,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK ISLAM AN-NASIRIN,69914580,TK,Swasta,0,0,,2023-01-31 18:58:58,2,46,3,3,2,3,0,0
Jakarta Barat,Cengkareng,TK ISLAM ASY-SYIFAA,20110990,TK,Swasta,0,0,,2023-03-06 21:08:08,7,47,2,3,1,2,0,0
Jakarta Barat,Cengkareng,TK ISLAM AT TAUFIK,20110991,TK,Swasta,0,0,,2023-01-18 21:57:29,2,62,3,4,2,4,0,0
Jakarta Barat,Cengkareng,TK Islam Cahaya,69856709,TK,Swasta,0,0,,2023-02-04 18:04:51,7,13,2,1,1,1,0,0
Jakarta Barat,Cengkareng,TK ISLAM CENDERAWASIH,20110992,TK,Swasta,0,0,,2023-02-03 12:12:00,4,51,3,3,1,3,0,0
Jakarta Barat,Cengkareng,TK ISLAM FATAHILLAH,69870244,TK,Swasta,0,0,,2023-01-26 15:08:08,3,53,4,5,1,5,0,0
Jakarta Barat,Cengkareng,TK ISLAM KEMULIAAN,20110995,TK,Swasta,0,0,,2023-02-02 05:50:13,2,51,4,4,2,4,0,0
Jakarta Barat,Cengkareng,TK ISLAM MUTIA 4,69908068,TK,Swasta,0,0,,2023-02-18 09:36:06,4,75,7,6,2,3,0,1
Jakarta Barat,Cengkareng,TK ISLAM NURUL FAJRI,69870240,TK,Swasta,0,0,,2023-02-08 21:50:05,3,45,3,3,1,3,0,0
Jakarta Barat,Cengkareng,TK ISLAM NURUL HAYAT,69907116,TK,Swasta,0,0,,2023-01-26 21:49:36,3,42,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK ISLAM NURUL IKHLAS,69909379,TK,Swasta,0,0,,2023-02-21 09:34:12,3,20,1,1,1,2,0,0
Jakarta Barat,Cengkareng,TK ISLAM TERPADU AL-HIJRAH,70025842,TK,Swasta,0,0,,2023-02-24 09:19:21,3,43,2,2,1,2,0,0
Jakarta Barat,Cengkareng,TK ISLAM TUNAS CENDEKIA,69995813,TK,Swasta,0,0,,2022-10-10 16:47:34,0,0,0,5,2,0,0,0
Jakarta Barat,Cengkareng,TK IT AMANI AR RASYID,69965548,TK,Swasta,0,0,,2022-09-08 21:49:37,0,0,0,1,1,0,0,0
